metric,app_value,baseline_value
ann_mean,0.0989364724724725,12.857777777777773
ann_vol,0.03024112309905858,9.60692892309157
sharpe,0.5625946519183384,0.2661641626248314
var,0.002801054054054056,
etl,0.011976881081081085,
rachev,1.9842579600428394,
