asset,app_weight_pct,app_mean_return_pct,app_mc_to_risk,app_implied_return_pct,app_difference_pct,baseline_mean,baseline_mc_to_risk,baseline_implied_return,baseline_difference
12267: Trexquant Onshore Fund LP,2.7027027027027035,1.0909239522488539,0.0015979148287572492,0.43377479612390824,0.6571491561249455,1.070412969088532,0.5771316714581932,0.7206116480138495,0.34980132107468254
Aquatic: Aquatic - Nautilus CFM (Net),2.7027027027027035,-0.4662589657670166,0.008839605184082604,0.8889717561089236,-1.3552307218759403,-0.5915031530995187,0.6760951312456314,0.844178288656537,-1.4356814417560557
Ares: Ares Pathfinder II,2.7027027027027035,0.3171626786904301,-0.003765853068715512,0.09661997160157137,0.2205427070888587,0.9820979157368203,0.31635737610865766,0.3950065841699622,0.587091331566858
Bayview Asset Management: MSR Fund,2.7027027027027035,0.8374403365093428,-0.0035856046634146974,0.10794999568562261,0.7294903408237203,0.7637388132427245,0.4362011259307278,0.5446445374038204,0.21909427583890417
Benefit Street Partners: Benefit Street Partners Origination Fund (CCFLX),2.7027027027027035,0.8627028959954702,-0.004431825834231521,0.054758367000820554,0.8079445289946496,0.8728977552125846,0.14432683517284745,0.18020774753836005,0.6926900076742246
BlackRock: GAO,2.7027027027027035,0.9855436270512977,0.007575029557792528,0.8094832731009357,0.17606035395036201,1.2240245840614499,0.8185322478451976,1.0220265170717613,0.20199806698968858
Blackstone: Badgerstone Access,2.7027027027027035,0.8609026198625432,-0.0018531833582259225,0.21684624405328332,0.6440563758092599,0.9021047179180594,0.412639379582385,0.515225135028513,0.3868795828895464
Blue Owl: Blue Owl Funding Partners (CCLFX),2.7027027027027035,0.6313466181940832,-0.0029486400322074544,0.14798821183639957,0.4833584063576837,0.8489291545414801,0.27266888490959423,0.34045675230463107,0.508472402236849
Brevan Howard Coinvests (Aksia): Brevan Howard Special Opportunities SPC,2.7027027027027035,-0.09669251915056086,0.000888085331586172,0.3891564524270726,-0.48584897157763346,0.23526581837368488,0.18108481106104202,0.22610407742703864,0.009161740946646235
Brevan Howard MB Macro Fund: Brevan Howard MB Macro Fund with proforma,2.7027027027027035,0.905806117032245,-0.0032388923412326152,0.12974358078838394,0.776062536243861,0.8903656718571152,0.26451556101518625,0.3302764408455626,0.5600892310115526
D. E. Shaw: Cogence,2.7027027027027035,1.519407513709289,0.004293394019598898,0.6032067758372776,0.9162007378720114,1.7007493867712347,1.3654622025908845,1.7049280376929319,-0.0041786509216972245
DE Shaw Composite Fund LLC: DE Shaw Composite Fund LLC,2.7027027027027035,1.360957669725029,-0.0015356267740690953,0.23680716265637086,1.1241505070686582,1.4252162442827232,0.44421708388188796,0.554653332545834,0.8705629117368892
Dockside: I-94 Minus Standalones,2.7027027027027035,0.9895723673204497,0.007132514979628964,0.7816677658304574,0.20790460148999243,1.0463513292958786,1.4867381671547932,1.8563542667682846,-0.810002937472406
Dorsal Capital Partners LP: Dorsal Capital Partners LP,2.7027027027027035,0.47656899594703434,-0.0009812108415615563,0.2716565465242,0.20491244942283435,0.574255149395312,0.5817834159143592,0.7264198567892045,-0.15216470739389254
DYAL: DYAL II - Aksia,2.7027027027027035,-1.0765234133003378e-15,-0.005969523206979417,-0.04189795702124405,0.04189795702124297,1.2936613506325858,0.20032400543548382,0.2501263036368637,1.043535046995722
Elliott Associates LP: Elliott Associates LP,2.7027027027027035,0.7351200292675676,-0.0034122215703253148,0.1188484811240462,0.6162715481435214,0.7120429704077235,0.33876464644349297,0.42298449770688673,0.28905847270083673
Four World: FWGO,2.7027027027027035,0.8323429012304654,-0.0003709095071557575,0.3100187656284766,0.5223241356019888,0.8696486239083479,0.42812486491735985,0.5345604473313881,0.3350881765769598
Four World: FWGO Minority Descent,2.7027027027027035,0.7760268474699907,-0.0014778208192857065,0.24044071968454175,0.535586127785449,0.6302408043882255,0.46708449874468694,0.5832057865611634,0.0470350178270621
Graham Absolute Return Ltd: Graham Absolute Return Ltd,2.7027027027027035,1.0530902209587603,0.007416482103147874,0.7995173237401575,0.2535728972186027,0.7367629289801563,1.6418692303993967,2.0500522678854076,-1.3132893389052513
HF: Current Coinvests (Excluding BH Coinvests),2.7027027027027035,0.354381562538121,-0.005435271961107355,-0.008316081650069961,0.3626976441881909,0.6483913215926267,0.8126941781353062,1.0147370522183725,-0.3663457306257458
HF: Current Specialty Finance (Excluding Pathfinder),2.7027027027027035,0.7976695759264052,-0.0017464559175067382,0.22355489965419942,0.5741146762722057,0.8767479141179841,0.9900596505497612,1.236197130911341,-0.35944921679335695
Holocene: Holocene Advisors Master,2.7027027027027035,0.7272102151763201,-0.003302043668346622,0.12577402524115233,0.6014361899351678,0.8757057850963609,0.2647988553683098,0.33063016465033274,0.5450756204460281
Hudson Structured: HSCM w MFC,2.7027027027027035,0.3107302784215829,0.00024113767327299876,0.3484907248297829,-0.03776044640819995,0.09619057318761301,0.26970978132508283,0.3367619897121033,-0.2405714165244903
King Street Capital LP: King Street Capital LP,2.7027027027027035,-0.03250652047081627,0.0003319801237405308,0.3542008843728516,-0.38670740484366783,-0.07036504569854382,0.6535336149385145,0.8160077822507991,-0.8863728279493429
LibreMax CLO: LibreMax CLO,2.7027027027027035,0.4005050758956934,-0.002484950732964397,0.17713471617951973,0.2233703597161737,0.34156768158000195,-0.13901257234755304,-0.17357231253816427,0.5151399941181662
LibreMax Partners LP: LibreMax Partners LP,2.7027027027027035,0.908178131260185,0.0015348605165672012,0.4298113387245251,0.4783667925356599,0.5190377413426006,1.7618599311303809,2.1998737053081894,-1.6808359639655888
